ID;NAME;DATE;NUMBER;TYPE;KIND;UPDATEDATE;ORGNAME;ACCDATE
27416132;О предварительном согласовании предоставления, утверждении   схемы расположения земельного  участка и присвоении адреса:   Российская Федерация,   Оренбургская область,   городской округ город Оренбург,   город Оренбург, улица Просторная, земельный участок № 7/11/692;2025-09-29;4629-р;15;2;2025-09-29;ДЕПАРТАМЕНТ ГРАДОСТРОИТЕЛЬСТВА И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ АДМИНИСТРАЦИИ ГОРОДА ОРЕНБУРГА;2025-09-29
27416162;О предварительном согласовании предоставления, утверждении   схемы расположения земельного  участка и присвоении адреса:   Российская Федерация,   Оренбургская область,   городской округ город Оренбург,   город Оренбург, улица Просторная, земельный участок № 7/11/1091;2025-09-29;4630-р;15;2;2025-09-29;ДЕПАРТАМЕНТ ГРАДОСТРОИТЕЛЬСТВА И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ АДМИНИСТРАЦИИ ГОРОДА ОРЕНБУРГА;2025-09-29
27416188;О предварительном согласовании предоставления, утверждении   схемы расположения земельного  участка и присвоении адреса:   Российская Федерация,   Оренбургская область,   городской округ город Оренбург,   город Оренбург, улица Просторная, земельный участок № 7/11/670;2025-09-29;4632-р;15;2;2025-09-29;ДЕПАРТАМЕНТ ГРАДОСТРОИТЕЛЬСТВА И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ АДМИНИСТРАЦИИ ГОРОДА ОРЕНБУРГА;2025-09-29
27416209;О предварительном согласовании предоставления, утверждении   схемы расположения земельного  участка и присвоении адреса:   Российская Федерация,   Оренбургская область,   городской округ город Оренбург,   город Оренбург, улица Просторная, земельный участок № 7/11/669;2025-09-29;4633-р;15;2;2025-09-29;ДЕПАРТАМЕНТ ГРАДОСТРОИТЕЛЬСТВА И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ АДМИНИСТРАЦИИ ГОРОДА ОРЕНБУРГА;2025-09-29
27416222;О предварительном согласовании предоставления, утверждении   схемы расположения земельного  участка и присвоении адреса:   Российская Федерация,   Оренбургская область,   городской округ город Оренбург,   город Оренбург, улица Просторная, земельный участок № 7/11/640;2025-09-29;4634-р;15;2;2025-09-29;ДЕПАРТАМЕНТ ГРАДОСТРОИТЕЛЬСТВА И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ АДМИНИСТРАЦИИ ГОРОДА ОРЕНБУРГА;2025-09-29
27416245;О предварительном согласовании предоставления, утверждении   схемы расположения земельного  участка и присвоении адреса:   Российская Федерация,   Оренбургская область,   городской округ город Оренбург,   город Оренбург, улица Просторная, земельный участок № 7/11/351;2025-09-29;4641-р;15;2;2025-09-29;ДЕПАРТАМЕНТ ГРАДОСТРОИТЕЛЬСТВА И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ АДМИНИСТРАЦИИ ГОРОДА ОРЕНБУРГА;2025-09-29
27416294;Об адресном хозяйстве;2019-08-08;40-п;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ПЕТРОВСКИЙ СЕЛЬСОВЕТ САРАКТАШСКОГО РАЙОНА ОРЕНБУРГСКОЙ ОБЛАСТИ;2025-09-29
27416370;О присвоении адреса земельному участку;2025-09-08;318-п;21;2;2025-09-29;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ДИМИТРОВСКИЙ СЕЛЬСОВЕТ ИЛЕКСКОГО РАЙОНА ОРЕНБУРГСКОЙ ОБЛАСТИ;2025-09-29
27416483;о присвоении адреса;2025-09-29;14-2998;23;2;2025-09-29;Комитет архитектуры и градостроительства администрации г.Орска Оренбургской области;2025-09-29
27416704;Об аннулировании адреса адресного объекта;2025-09-26;92;21;2;2025-09-29;Администрация муниципального образования Красногвардейский сельсовет Бузулукского района Оренбургской области;2025-09-29
